SPOT_LABEL	CLONE_ID	SOURCE_CLONE_ID	ORIGIN
513	225059	CATMA1a03860	UK(HRI)
514	224988	CATMA1a03880	UK(HRI)
515	225072	CATMA1a03970	UK(HRI)
516	225121	CATMA1a07360	UTRECHT
517	225012	CATMA1a03900	UK(HRI)
518	225036	CATMA1a03920	UK(HRI)
519	225145	CATMA1a07380	UTRECHT
520	225074	CATMA1a07400	UTRECHT
521	225998	CATMA1a54980	LAUSANNE
522	226022	CATMA1a55000	LAUSANNE
523	225999	CATMA1a55080	LAUSANNE
524	226023	CATMA1a55110	LAUSANNE
525	225951	CATMA1a55020	LAUSANNE
526	225975	CATMA1a55050	LAUSANNE
527	225952	CATMA1a55130	LAUSANNE
528	225976	CATMA1a55200	LAUSANNE
529	224177	CATMA3a31570	BERLIN
530	224201	CATMA3a31630	BERLIN
531	224178	CATMA3a31950	BERLIN
532	224202	CATMA3a32020	BERLIN
533	224130	CATMA3a31890	BERLIN
534	224154	CATMA3a31910	BERLIN
535	224131	CATMA3a32040	BERLIN
536	224155	CATMA3a32160	BERLIN
537	224335	CATMA3a45540	UTRECHT
538	224359	CATMA3a45580	UTRECHT
539	224348	CATMA3a45690	UTRECHT
540	224384	CATMA3a45730	UTRECHT
541	224383	CATMA3a45630	UTRECHT
542	224312	CATMA3a45650	UTRECHT
543	224313	CATMA3a45760	UTRECHT
544	224349	CATMA3a45780	UTRECHT
545	226169	CATMA1a64240	FR(INRA)
546	226193	CATMA1a64270	FR(INRA)
547	226170	CATMA1a64330	FR(INRA)
548	226194	CATMA1a64340	FR(INRA)
549	226217	CATMA1a64290	FR(INRA)
550	226146	CATMA1a64310	FR(INRA)
551	226218	CATMA1a64360	FR(INRA)
552	226147	CATMA1a64376	FR(INRA)
553	226411	CATMA5a01370	UK(HRI)
554	226340	CATMA5a01440	UK(HRI)
555	226412	CATMA5a01510	UK(HRI)
556	226341	CATMA5a01540	UK(HRI)
557	226364	CATMA5a01460	UK(HRI)
558	226388	CATMA5a01480	UK(HRI)
559	226365	CATMA5a01560	UK(HRI)
560	226389	CATMA5a01580	UK(HRI)
561	224913	CATMA4a41170	FR(INRA)
562	224937	CATMA4a41190	FR(INRA)
563	224914	CATMA4a41250	FR(INRA)
564	224938	CATMA4a41270	FR(INRA)
565	224961	CATMA4a41210	FR(INRA)
566	224890	CATMA4a41230	FR(INRA)
567	224974	CATMA4a41310	FR(INRA)
568	224903	CATMA4a41350	FR(INRA)
569	225335	CATMA1a17080	MADRID
570	225276	CATMA1a17095	MADRID
571	225348	CATMA1a17170	MADRID
572	225361	CATMA1a20750	FR(INRA)
573	225300	CATMA1a17130	MADRID
574	225324	CATMA1a17150	MADRID
575	225385	CATMA1a20770	FR(INRA)
576	225409	CATMA1a20790	FR(INRA)
577	226965	CATMA5a33150	MAF
578	226989	CATMA5a33200	MAF
579	226966	CATMA5a33310	MAF
580	226990	CATMA5a33410	MAF
581	226918	CATMA5a33220	MAF
582	226942	CATMA5a33260	MAF
583	226919	CATMA5a33450	MAF
584	226943	CATMA5a33490	MAF
585	227196	CATMA5a48320	LAUSANNE
586	227220	CATMA5a48340	LAUSANNE
587	227281	CATMA5a51600	MADRID
588	227317	CATMA5a51680	MADRID
589	227244	CATMA5a48350	LAUSANNE
590	227268	CATMA5a48380	LAUSANNE
591	227353	CATMA5a51700	MADRID
592	227282	CATMA5a51720	MADRID
593	225664	CATMA1a39400	FR(INRA)
594	225688	CATMA1a39430	FR(INRA)
595	225677	CATMA1a39530	FR(INRA)
596	225701	CATMA1a39550	FR(INRA)
597	225724	CATMA1a39465	FR(INRA)
598	225653	CATMA1a39515	FR(INRA)
599	225725	CATMA1a39570	FR(INRA)
600	225654	CATMA1a39590	FR(INRA)
601	225928	CATMA1a49660	UTRECHT
602	225857	CATMA1a49680	UTRECHT
603	225846	CATMA1a49800	UTRECHT
604	225870	CATMA1a49840	UTRECHT
605	225893	CATMA1a49760	UTRECHT
606	225917	CATMA1a49780	UTRECHT
607	225894	CATMA1a49870	UTRECHT
608	225918	CATMA1a49910	UTRECHT
609	228505	CATMA2a04800	MAF
610	228470	CATMA2a04980	MAF
611	228459	CATMA2a05230	MAF
612	228483	CATMA2a05290	MAF
613	228494	CATMA2a05080	MAF
614	228435	CATMA2a05190	MAF
615	228448	CATMA2a05530	MAF
616	228484	CATMA2a05640	MAF
617	228921	CATMA2a35800	MADRID
618	228945	CATMA2a35830	MADRID
619	228922	CATMA2a35880	MADRID
620	228946	CATMA2a35900	MADRID
621	228969	CATMA2a35836	MADRID
622	228993	CATMA2a35860	MADRID
623	228970	CATMA2a35930	MADRID
624	228994	CATMA2a35950	MADRID
625	226651	CATMA5a14420	MADRID
626	226675	CATMA5a14440	MADRID
627	226652	CATMA5a14510	MADRID
628	226676	CATMA5a14540	MADRID
629	226699	CATMA5a14460	MADRID
630	226628	CATMA5a14490	MADRID
631	226700	CATMA5a14560	MADRID
632	226629	CATMA5a14600	MADRID
633	226821	CATMA5a23860	FR(INRA)
634	226845	CATMA5a23880	FR(INRA)
635	226822	CATMA5a24040	FR(INRA)
636	226858	CATMA5a24070	FR(INRA)
637	226869	CATMA5a23900	FR(INRA)
638	226893	CATMA5a23940	FR(INRA)
639	226882	CATMA5a24083	FR(INRA)
640	226811	CATMA5a24091	FR(INRA)
641	229300	CATMA3a03520	UK(HRI)
642	229324	CATMA3a03540	UK(HRI)
643	229301	CATMA3a03610	UK(HRI)
644	229325	CATMA3a03630	UK(HRI)
645	229348	CATMA3a03560	UK(HRI)
646	229372	CATMA3a03580	UK(HRI)
647	229349	CATMA3a03650	UK(HRI)
648	229373	CATMA3a03680	UK(HRI)
649	229768	CATMA4a30000	FR(INRA)
650	229697	CATMA4a30030	FR(INRA)
651	229769	CATMA4a30090	FR(INRA)
652	229698	CATMA4a30110	FR(INRA)
653	229721	CATMA4a30045	FR(INRA)
654	229745	CATMA4a30070	FR(INRA)
655	229722	CATMA4a30130	FR(INRA)
656	229746	CATMA4a30150	FR(INRA)
657	227458	CATMA5a56940	BERLIN
658	227387	CATMA5a56970	BERLIN
659	227459	CATMA5a57060	BERLIN
660	227388	CATMA5a57080	BERLIN
661	227411	CATMA5a57000	BERLIN
662	227435	CATMA5a57020	BERLIN
663	227412	CATMA5a57100	BERLIN
664	227436	CATMA5a57120	BERLIN
665	228822	CATMA2a30650	LAUSANNE
666	228846	CATMA2a30670	LAUSANNE
667	228847	CATMA2a30730	LAUSANNE
668	228883	CATMA2a30770	LAUSANNE
669	228882	CATMA2a30686	LAUSANNE
670	228823	CATMA2a30710	LAUSANNE
671	228907	CATMA2a30810	LAUSANNE
672	228836	CATMA2a30830	LAUSANNE
673	230033	CATMA3a16800	MADRID
674	230057	CATMA3a16820	MADRID
675	230034	CATMA3a16880	MADRID
